year,title,clean_test,binary,intgross_2013
2013,21 &amp; Over,notalk,FAIL,42195766
2012,Dredd 3D,ok,PASS,41467257
2013,12 Years a Slave,notalk,FAIL,158607035
2013,2 Guns,notalk,FAIL,132493015
2013,42,men,FAIL,95020213
2013,47 Ronin,men,FAIL,145803842
2013,A Good Day to Die Hard,notalk,FAIL,304249198
2013,About Time,ok,PASS,87324746
2013,Admission,ok,PASS,18007317
2013,After Earth,notalk,FAIL,244373198
2013,American Hustle,ok,PASS,249484909
2013,August: Osage County,ok,PASS,50304874
2013,Beautiful Creatures,ok,PASS,55940671
2013,Blue Jasmine,ok,PASS,68447831
2013,Captain Phillips,notalk,FAIL,218743570
2013,Carrie,ok,PASS,85001659
2013,Cloudy with a Chance of Meatballs 2,nowomen,FAIL,271725448
2013,Despicable Me 2,ok,PASS,970766005
2013,Don Jon,dubious,FAIL,26377704
2013,Elysium,ok,PASS,286192091
2013,Ender&#39;s Game,men,FAIL,89737191
2013,Epic,ok,PASS,268418682
2013,Escape from Planet Earth,ok,PASS,66454811
2013,Escape Plan,men,FAIL,103813103
2013,Evil Dead,ok,PASS,97402049
2013,Fast and Furious 6,ok,PASS,788128122
2013,Frozen,ok,PASS,1004550114
2013,G.I. Joe: Retaliation,ok,PASS,371923060
2013,Gangster Squad,notalk,FAIL,104100903
2013,Gloria,ok,PASS,4967493
2013,Gravity,nowomen,FAIL,708714796
2013,Grown Ups 2,men,FAIL,247023808
2013,Hansel &amp; Gretel: Witch Hunters,ok,PASS,225703475
2013,Her,men,FAIL,33029713
2013,Identity Thief,men,FAIL,176269721
2013,Insidious: Chapter 2,men,FAIL,161911222
2013,Iron Man 3,dubious,FAIL,1212692272
2013,Jack the Giant Slayer,nowomen,FAIL,197387603
2013,Kick-Ass 2,ok,PASS,60839197
2013,Last Vegas,notalk,FAIL,112914167
2013,Lee Daniels&#39; The Butler,ok,PASS,151513429
2013,Machete Kills,ok,PASS,9408161
2013,Mama,ok,PASS,148041253
2013,Man of Steel,ok,PASS,687999518
2013,Nebraska,ok,PASS,17482517
2013,Now You See Me,notalk,FAIL,351723989
2013,Oblivion,men,FAIL,287537983
2013,Olympus Has Fallen,notalk,FAIL,150562164
2013,Oz the Great and Powerful,ok,PASS,489570996
2013,Pacific Rim,notalk,FAIL,411002906
2013,Pain &amp; Gain,notalk,FAIL,81275291
2013,Parker,ok,PASS,46346651
2013,Peeples,dubious,FAIL,9177065
2013,Percy Jackson: Sea of Monsters,ok,PASS,200859554
2013,Prisoners,ok,PASS,113402302
2013,R.I.P.D.,notalk,FAIL,79019947
2013,Red 2,ok,PASS,137162560
2013,Riddick,notalk,FAIL,92425135
2013,Runner Runner,nowomen,FAIL,62616646
2013,Rush,notalk,FAIL,43047624
2013,Safe Haven,ok,PASS,93943623
2013,Saving Mr. Banks,ok,PASS,100734332
2013,Side Effects,ok,PASS,60288363
2013,Star Trek Into Darkness,notalk,FAIL,466978661
2013,Texas Chainsaw 3D,ok,PASS,39093317
2013,The Big Wedding,ok,PASS,35770721
2013,The Book Thief,ok,PASS,62045525
2013,The Call,ok,PASS,58938768
2013,The Conjuring,ok,PASS,318000141
2013,The Counselor,ok,PASS,70373715
2013,The Croods,men,FAIL,573068425
2013,The Family,men,FAIL,51078541
2013,The Fifth Estate,notalk,FAIL,6154172
2013,The Frozen Ground,nowomen,FAIL,0
2013,The Great Gatsby,dubious,FAIL,351040419
2013,The Hangover part 3,men,FAIL,362000072
2013,The Heat,ok,PASS,230781587
2013,The Hobbit: The Desolation of Smaug,notalk,FAIL,937397516
2013,The Host,dubious,FAIL,58188384
2013,The Hunger Games: Catching Fire,ok,PASS,857088260
2013,The Incredible Burt Wonderstone,notalk,FAIL,24255957
2013,The Internship,notalk,FAIL,93672764
2013,The Last Exorcism Part II,ok,PASS,18541236
2013,The Lone Ranger,notalk,FAIL,259989910
2013,The Mortal Instruments: City of Bones,ok,PASS,75965567
2013,The Purge,dubious,FAIL,91100541
2013,The Smurfs 2,ok,PASS,348545841
2013,The To Do List,ok,PASS,3491669
2013,The Way Way Back,ok,PASS,26161443
2013,The Wolf of Wall Street,notalk,FAIL,365702857
2013,The Wolverine,ok,PASS,416456852
2013,The World&#39;s End,men,FAIL,46578821
2013,This Is the End,notalk,FAIL,126294264
2013,Thor: The Dark World,dubious,FAIL,631674790
2013,Trance,nowomen,FAIL,22594052
2013,Turbo,dubious,FAIL,283828130
2013,Warm Bodies,men,FAIL,116643610
2013,We&#39;re the Millers,ok,PASS,270000119
2013,White House Down,men,FAIL,205440387
2013,World War Z,dubious,FAIL,539559711
2012,Abraham Lincoln: Vampire Hunter,dubious,FAIL,116804318
2012,Act of Valor,nowomen,FAIL,83704673
2012,Amour,dubious,FAIL,26295088
2012,Anna Karenina,men,FAIL,71771007
2012,Argo,ok,PASS,224540219
2012,Battleship,notalk,FAIL,308594933
2012,Beasts of the Southern Wild,dubious,FAIL,21388640
2012,Blue Like Jazz,ok,PASS,603728
2012,Brave,ok,PASS,562725176
2012,Bullet to the Head,nowomen,FAIL,13760036
2012,Chernobyl Diaries,notalk,FAIL,38951995
2012,Chronicle,notalk,FAIL,128935373
2012,Cloud Atlas,ok,PASS,127863295
2012,Contraband,ok,PASS,99847390
2012,Django Unchained,notalk,FAIL,431600549
2012,Flight,dubious,FAIL,164140491
2012,Frankenweenie,nowomen,FAIL,82338719
2012,Hannibal,ok,PASS,355225246
2012,Hotel Transylvania,ok,PASS,364480509
2012,Jack Reacher,notalk,FAIL,220552732
2012,Jagten,men,FAIL,697244
2012,John Carter,ok,PASS,286917566
2012,Killing Them Softly,nowomen,FAIL,37783896
2012,Les Miserables,ok,PASS,448493475
2012,Life of Pi,notalk,FAIL,616887080
2012,Lincoln,ok,PASS,276997302
2012,Madagascar 3: Europe&#39;s Most Wanted,men,FAIL,757855127
2012,Men in Black III,notalk,FAIL,633967639
2012,Mirror Mirror,dubious,FAIL,171080229
2012,Moonrise Kingdom,ok,PASS,64949517
2012,Much Ado About Nothing,dubious,FAIL,22879428
2012,One for the Money,ok,PASS,36727096
2012,Paranormal Activity 4,ok,PASS,144884139
2012,ParaNorman,notalk,FAIL,109742304
2012,Parental Guidance,ok,PASS,121927729
2012,People Like Us,ok,PASS,12613776
2012,Pitch Perfect,ok,PASS,117019460
2012,Premium Rush,ok,PASS,31852752
2012,Red Dawn,notalk,FAIL,48869204
2012,Red Tails,men,FAIL,51102777
2012,Rise of the Guardians,notalk,FAIL,311393491
2012,Rock of Ages,ok,PASS,50852278
2012,Safe,notalk,FAIL,42102643
2012,Safety Not Guaranteed,ok,PASS,4477791
2012,Seven Psychopaths,notalk,FAIL,23836212
2012,Silent Hill: Revelation 3D,ok,PASS,48646439
2012,Silver Linings Playbook,ok,PASS,230644998
2012,Sinister,men,FAIL,89012016
2012,Skyfall,dubious,FAIL,1124923772
2012,Snow White and the Huntsman,ok,PASS,406779965
2012,Sparkle,ok,PASS,25021315
2012,Spring Breakers,ok,PASS,31118489
2012,Step Up Revolution,ok,PASS,167975738
2012,Supporting Characters,men,FAIL,4989
2012,Ted,men,FAIL,557487654
2012,That&#39;s My Boy,notalk,FAIL,58908258
2012,The Amazing Spider-Man,men,FAIL,768984693
2012,The Avengers,notalk,FAIL,49296637
2012,The Dark Knight Rises,notalk,FAIL,1095143990
2012,The Devil Inside,ok,PASS,103248087
2012,The Dictator,notalk,FAIL,182005391
2012,The Expendables 2,ok,PASS,316546185
2012,The Grey,nowomen,FAIL,85574308
2012,The Hobbit: An Unexpected Journey,nowomen,FAIL,1029557373
2012,The Hunger Games,ok,PASS,694530947
2012,The Impossible,men,FAIL,172073169
2012,The Man with the Iron Fists,notalk,FAIL,22306925
2012,The Master,notalk,FAIL,25484413
2012,The Pirates! Band of Misfits,notalk,FAIL,124857587
2012,The Place Beyond the Pines,notalk,FAIL,47699629
2012,The Twilight Saga: Breaking Dawn - Part 2,dubious,FAIL,844848985
2012,The Vow,ok,PASS,200511006
2012,The Watch,men,FAIL,68338951
2012,The Woman in Black,notalk,FAIL,130843627
2012,The Words,notalk,FAIL,12310182
2012,Think Like a Man,ok,PASS,97562697
2012,To Rome With Love,men,FAIL,75452356
2012,Total Recall,notalk,FAIL,201523449
2012,Underworld: Awakening,ok,PASS,162727662
2012,Wanderlust,ok,PASS,24513601
2012,What to Expect When You&#39;re Expecting,ok,PASS,81832836
2012,Won&#39;t Back Down,ok,PASS,5510995
2012,Wrath of the Titans,notalk,FAIL,306390492
2012,Wreck-It Ralph,ok,PASS,480342759
2012,Zero Dark Thirty,ok,PASS,139736750
2011,30 Minutes or Less,notalk,FAIL,42428850
2011,50/50,men,FAIL,42810004
2011,A Dangerous Method,dubious,FAIL,15336023
2011,A Lonely Place to Die,ok,PASS,458345
2011,A Very Harold &amp; Kumar 3D Christmas,notalk,FAIL,37560098
2011,Another Earth,ok,PASS,1844766
2011,Apollo 18,nowomen,FAIL,27464261
2011,Arthur Christmas,notalk,FAIL,152893489
2011,Attack the Block,ok,PASS,5599381
2011,Bad Teacher,ok,PASS,224136189
2011,Battle: Los Angeles,notalk,FAIL,219571833
2011,Beastly,notalk,FAIL,39385487
2011,Blackthorn,notalk,FAIL,1294370
2011,Bridesmaids,ok,PASS,299587165
2011,Captain America: The First Avenger,notalk,FAIL,383795703
2011,Cars 2,men,FAIL,580147769
2011,Circumstance,ok,PASS,470329
2011,Colombiana,notalk,FAIL,74257040
2011,Conan the Barbarian,dubious,FAIL,81937729
2011,Contagion,ok,PASS,142460919
2011,Coriolanus,men,FAIL,1087104
2011,Cowboys &amp; Aliens,notalk,FAIL,182188693
2011,Detention,ok,PASS,0
2011,Diary of a Wimpy Kid: Rodrick Rules,notalk,FAIL,76325433
2011,Dolphin Tale,men,FAIL,99497492
2011,Dream House,ok,PASS,41357557
2011,Drive,dubious,FAIL,80840663
2011,Fast Five,ok,PASS,652320815
2011,Final Destination 5,men,FAIL,163522777
2011,Footloose,ok,PASS,65676025
2011,Fright Night,dubious,FAIL,41966863
2011,Green Lantern,notalk,FAIL,239452924
2011,Hall Pass,men,FAIL,86680344
2011,Hanna,ok,PASS,67675862
2011,Harry Potter and the Deathly Hallows: Part 2,notalk,FAIL,1375512553
2011,Haywire,nowomen,FAIL,22967676
2011,Hesher,notalk,FAIL,396614
2011,Higher Ground,ok,PASS,889847
2011,Hobo with a Shotgun,nowomen,FAIL,864753
2011,Hop,men,FAIL,191524428
2011,Horrible Bosses,ok,PASS,222195609
2011,Hugo,dubious,FAIL,191637196
2011,I Am Number Four,notalk,FAIL,151193038
2011,Immortals,men,FAIL,219113265
2011,In Time,notalk,FAIL,176134406
2011,Iris,ok,PASS,15695916
2011,Jin ling shi san chai,ok,PASS,97066426
2011,Johnny English Reborn,dubious,FAIL,170412210
2011,Jumping the Broom,ok,PASS,39520511
2011,Just Go with It,dubious,FAIL,222647578
2011,Kill List,dubious,FAIL,478703
2011,Killer Elite,nowomen,FAIL,59839216
2011,Kung Fu Panda 2,ok,PASS,688566122
2011,Le Havre,dubious,FAIL,13961315
2011,Like Crazy,ok,PASS,3864669
2011,Limitless,notalk,FAIL,175797590
2011,Margaret,ok,PASS,48869
2011,Margin Call,notalk,FAIL,18510079
2011,Mars Needs Moms,dubious,FAIL,40961320
2011,Martha Marcy May Marlene,ok,PASS,3657064
2011,Melancholia,ok,PASS,18688080
2011,Midnight in Paris,ok,PASS,160342190
2011,Mission: Impossible - Ghost Protocol,notalk,FAIL,719508092
2011,Moneyball,notalk,FAIL,115142275
2011,Mr. Popper&#39;s Penguins,notalk,FAIL,196392298
2011,New Year&#39;s Eve,ok,PASS,148791377
2011,No Strings Attached,ok,PASS,154554145
2011,October Baby,ok,PASS,5547001
2011,Our Idiot Brother,ok,PASS,26784257
2011,Paranormal Activity 3,ok,PASS,214429259
2011,Paul,ok,PASS,103755310
2011,Pirates of the Caribbean: On Stranger Tides,notalk,FAIL,1080913060
2011,Priest,notalk,FAIL,87157549
2011,Puss in Boots,notalk,FAIL,574795417
2011,Rango,notalk,FAIL,254266825
2011,Real Steel,notalk,FAIL,303703179
2011,Red Riding Hood,ok,PASS,93523336
2011,Red State,ok,PASS,1103455
2011,Restless,ok,PASS,2918985
2011,Rio,notalk,FAIL,504919774
2011,Rise of the Planet of the Apes,notalk,FAIL,500093845
2011,Shame,notalk,FAIL,11166495
2011,Snow Flower and the Secret Fan,ok,PASS,11753231
2011,Soul Surfer,ok,PASS,48841781
2011,Source Code,notalk,FAIL,145440503
2011,Straw Dogs,ok,PASS,11655479
2011,Sucker Punch,ok,PASS,92961937
2011,Super 8,ok,PASS,269379017
2011,Take Shelter,ok,PASS,3240628
2011,The Adjustment Bureau,dubious,FAIL,132354553
2011,The Adventures of Tintin,notalk,FAIL,387342089
2011,The Artist,notalk,FAIL,132834295
2011,The Best Exotic Marigold Hotel,ok,PASS,139537943
2011,The Cabin in the Woods,dubious,FAIL,73293915
2011,The Darkest Hour,ok,PASS,65074228
2011,The Divide,ok,PASS,18642
2011,The Future,ok,PASS,588958
2011,The Girl with the Dragon Tattoo,notalk,FAIL,241492267
2011,The Green Hornet,notalk,FAIL,236120048
2011,The Guard,notalk,FAIL,16513705
2011,The Help,ok,PASS,220726425
2011,The Iron Lady,ok,PASS,119717677
2011,The Lincoln Lawyer,notalk,FAIL,90255363
2011,The Mechanic,nowomen,FAIL,79072292
2011,The Muppets,notalk,FAIL,166717137
2011,The Rite,dubious,FAIL,99475649
2011,The Roommate,ok,PASS,41942847
2011,The Smurfs,ok,PASS,583162839
2011,The Three Musketeers,men,FAIL,144870266
2011,The Tree of Life,nowomen,FAIL,64529403
2011,The Twilight Saga: Breaking Dawn - Part 1,ok,PASS,735276926
2011,Thor,ok,PASS,465363438
2011,Tinker Tailor Soldier Spy,notalk,FAIL,84359926
2011,Tower Heist,notalk,FAIL,158947830
2011,Transformers: Dark of the Moon,ok,PASS,1163903170
2011,War Horse,notalk,FAIL,162412399
2011,Warrior,notalk,FAIL,25079651
2011,We Bought a Zoo,men,FAIL,123169061
2011,Weekend,notalk,FAIL,1633890
2011,What&#39;s Your Number,ok,PASS,31807187
2011,Winnie the Pooh,nowomen,FAIL,51935343
2011,X-Men: First Class,ok,PASS,368093107
2011,Young Adult,ok,PASS,23562334
2011,Your Sister&#39;s Sister,ok,PASS,3200899
2010,127 Hours,dubious,FAIL,64879307
2010,Alice in Wonderland,ok,PASS,1094287202
2010,Animal Kingdom,notalk,FAIL,8629906
2010,Another Year,ok,PASS,19768384
2010,Barney&#39;s Version,ok,PASS,9449125
2010,Beginners,notalk,FAIL,12353318
2010,Biutiful,notalk,FAIL,26813941
2010,Black Swan,ok,PASS,353869648
2010,Blue Valentine,men,FAIL,17696585
2010,Burlesque,ok,PASS,95774887
2010,Casino Jack,notalk,FAIL,2222851
2010,Centurion,notalk,FAIL,7075508
2010,Charlie St. Cloud,notalk,FAIL,51785833
2010,Clash of the Titans,dubious,FAIL,526867848
2010,Conviction,ok,PASS,10824983
2010,Cop Out,notalk,FAIL,59724746
2010,Country Strong,ok,PASS,21953741
2010,Cyrus,notalk,FAIL,10724926
2010,Date Night,ok,PASS,162658630
2010,Dear John,nowomen,FAIL,118960872
2010,Despicable Me,ok,PASS,580578700
2010,Devil,ok,PASS,67676882
2010,Diary of a Wimpy Kid,ok,PASS,82205045
2010,Dinner for Schmucks,notalk,FAIL,92718787
2010,Don&#39;t Be Afraid of the Dark,ok,PASS,33703834
2010,Due Date,notalk,FAIL,226186388
2010,Dylan Dog: Dead of Night,nowomen,FAIL,6506276
2010,Easy A,ok,PASS,81400037
2010,"Eat, Pray, Love",ok,PASS,219892171
2010,Edge of Darkness,notalk,FAIL,86749716
2010,Everything Must Go,notalk,FAIL,2897185
2010,Fair Game,ok,PASS,27878177
2010,Faster,nowomen,FAIL,38091703
2010,For Colored Girls,ok,PASS,40611902
2010,Frozen,notalk,FAIL,1073092418
2010,Get Him To The Greek,notalk,FAIL,97696078
2010,Going the Distance,ok,PASS,42718768
2010,Green Zone,nowomen,FAIL,104177195
2010,Grown Ups,ok,PASS,290797736
2010,Gunless,men,FAIL,489308
2010,Harry Potter and the Deathly Hallows: Part 1,ok,PASS,1021656625
2010,Hot Tub Time Machine,notalk,FAIL,67522890
2010,How to Train Your Dragon,ok,PASS,528636950
2010,I Am Love,ok,PASS,16164710
2010,Inception,dubious,FAIL,889393184
2010,Insidious,ok,PASS,106685260
2010,Iron Man 2,ok,PASS,666108069
2010,It&#39;s Kind of a Funny Story,notalk,FAIL,7080589
2010,Kick-Ass,notalk,FAIL,104182018
2010,Knight and Day,men,FAIL,280028482
2010,Legion,ok,PASS,73552139
2010,Let Me In,notalk,FAIL,30199340
2010,Letters to Juliet,dubious,FAIL,84535576
2010,Love and Other Drugs,men,FAIL,109728398
2010,Machete,ok,PASS,47356808
2010,Made In Dagenham,ok,PASS,16711628
2010,Meek&#39;s Cutoff,men,FAIL,1997517
2010,Megamind,nowomen,FAIL,343850165
2010,Monsters,nowomen,FAIL,6024539
2010,Morning Glory,ok,PASS,64137680
2010,Nanny McPhee and the Big Bang,ok,PASS,104472930
2010,Never Let Me Go,ok,PASS,12294827
2010,Paranormal Activity 2,ok,PASS,189624005
2010,Percy Jackson &amp; the Olympians: The Lightning Thief,dubious,FAIL,241919399
2010,Please Give,ok,PASS,4882010
2010,Predators,nowomen,FAIL,135915826
2010,Prince of Persia: The Sands of Time,nowomen,FAIL,357921415
2010,Rabbit Hole,ok,PASS,6238038
2010,Ramona and Beezus,ok,PASS,29343924
2010,Red,men,FAIL,209843135
2010,Remember Me,ok,PASS,60361637
2010,Repo Men,ok,PASS,19436733
2010,Robin Hood,dubious,FAIL,344460978
2010,Salt,ok,PASS,315890541
2010,Scott Pilgrim vs. the World,ok,PASS,51371013
2010,Secretariat,ok,PASS,64495830
2010,Sex and the city 2,ok,PASS,314787390
2010,Shrek Forever After,notalk,FAIL,807844640
2010,Shutter Island,notalk,FAIL,317084404
2010,Skyline,dubious,FAIL,84062765
2010,Somewhere,dubious,FAIL,15367204
2010,Submarine,notalk,FAIL,4894571
2010,Super,notalk,FAIL,553731
2010,Takers,notalk,FAIL,75403567
2010,Tangled,ok,PASS,626605502
2010,The A-Team,nowomen,FAIL,189334662
2010,The Back-up Plan,ok,PASS,80417752
2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,ok,PASS,446720616
2010,The Conspirator,dubious,FAIL,16992803
2010,The Crazies,ok,PASS,58705899
2010,The Debt,ok,PASS,49783934
2010,The Expendables,notalk,FAIL,286572606
2010,The Fighter,men,FAIL,138082199
2010,The Ghost Writer,men,FAIL,70003894
2010,The Illusionist,nowomen,FAIL,89509349
2010,The Karate Kid,dubious,FAIL,383593100
2010,The Kids Are All Right,ok,PASS,38750611
2010,The Killer Inside Me,notalk,FAIL,3864090
2010,The King&#39;s Speech,ok,PASS,460216888
2010,The Last Airbender,notalk,FAIL,341528548
2010,The Last Exorcism,ok,PASS,74953449
2010,The Losers,notalk,FAIL,28536765
2010,The Next Three Days,ok,PASS,71844911
2010,The Other Guys,nowomen,FAIL,182599780
2010,The Runaways,ok,PASS,5638803
2010,The Social Network,notalk,FAIL,240268986
2010,The Sorcerer&#39;s Apprentice,notalk,FAIL,229831139
2010,The Spy Next Door,ok,PASS,54462053
2010,The Switch,men,FAIL,53260400
2010,The Tempest,ok,PASS,296908
2010,The Tourist,nowomen,FAIL,297749724
2010,The Town,notalk,FAIL,162976800
2010,The Twilight Saga: Eclipse,ok,PASS,747325041
2010,The Wolfman,notalk,FAIL,152366563
2010,Tiny Furniture,ok,PASS,453089
2010,Toy Story 3,dubious,FAIL,1136341723
2010,Tron Legacy,notalk,FAIL,424689202
2010,True Grit,ok,PASS,269490247
2010,Tucker and Dale vs Evil,ok,PASS,5850485
2010,Unstoppable,dubious,FAIL,181077698
2010,Valentine&#39;s Day,ok,PASS,232414484
2010,Wall Street: Money Never Sleeps,dubious,FAIL,146808831
2010,Welcome to the Rileys,ok,PASS,334204
2010,Wild Target,notalk,FAIL,116798
2010,Winter&#39;s Bone,ok,PASS,17232238
2010,Womb,ok,PASS,0
2010,Yogi Bear,nowomen,FAIL,216086548
2010,You Again,ok,PASS,35079607
2010,You Will Meet a Tall Dark Stranger,ok,PASS,36584608
2009,(500) Days of Summer,notalk,FAIL,66015966
2009,17 Again,ok,PASS,151432312
2009,2012,notalk,FAIL,856000062
2009,9,nowomen,FAIL,52723125
2009,A Perfect Getaway,dubious,FAIL,24771466
2009,A Serious Man,men,FAIL,32963430
2009,A Single Man,notalk,FAIL,30555070
2009,Adam,men,FAIL,3071090
2009,Adventureland,men,FAIL,18613810
2009,Agora,notalk,FAIL,42335163
2009,Ajami,men,FAIL,675172
2009,All About Steve,ok,PASS,43567433
2009,An Education,ok,PASS,32194912
2009,Angels &amp; Demons,nowomen,FAIL,532959416
2009,Armored,nowomen,FAIL,25689537
2009,Astro Boy,dubious,FAIL,47873178
2009,Avatar,men,FAIL,3022588801
